Lama Pelayanan,Jumlah Kedatangan 
110,17
128,16
119,7
197,5
126,3
198,6
200,6
160,2
79,15
124,9
271,12
299,4
373,4
104,2
245,7
77,12
152,19
105,14
155,6
61,13
109,2
76,
335,
207,
101,
116,
47,
433,
72,
74,
60,
185,
116,
116,
79,
98,
185,
114,
159,
216,
190,
81,
98,
188,
916,
93,
626,
237,
295,
57,
85,
180,
71,
88,
368,
100,
378,
195,
143,
27,
124,
93,
106,
385,
64,
429,
628,
95,
105,
502,
282,
220,
18,
38,
24,
90,
10,
80,
59,
84,
89,
61,
172,
123,
476,
156,
320,
78,
63,
43,
22,
50,
92,
92,
37,
68,
37,
101,
44,
41,
19,
21,
483,
104,
122,
410,
89,
29,
582,
188,
167,
262,
306,
241,
402,
436,
122,
104,
199,
156,
275,
74,
84,
754,
220,
279,
106,
99,
82,
44,
95,
443,
473,
156,
175,
133,
90,
179,
75,
83,
65,
146,
117,
133,
411,
134,
63,
149,
158,
123,
78,
58,
98,
283,
75,
95,
63,
582,
198,
90,
97,
22,
152,
41,
65,
103,
95,
129,
50,
77,
62,
377,
95,
132,
39,
106,
94,
662,
123,
27,
115,
